epoch,epoch_loss,lmi_loss,eta_loss
45,2.300006215836874,"tensor(-80.7152594, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
46,2.259277042701538,"tensor(-80.7152740, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
47,2.2407183607750563,"tensor(-80.7152848, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
48,2.2682076765325747,"tensor(-80.7153020, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
49,2.2390297051829893,"tensor(-80.7153049, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
50,2.2405675469186637,"tensor(-80.7153251, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
51,2.2275245998879853,"tensor(-80.7153282, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
52,2.2184077343898303,"tensor(-80.7153355, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
53,2.225768123733972,"tensor(-80.7153532, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
54,2.2186601008989926,"tensor(-80.7153580, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
55,2.221021334505506,"tensor(-80.7153702, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
56,2.2052223330087104,"tensor(-80.7153735, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
57,2.200871583382954,"tensor(-80.7153824, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
58,2.191434061617399,"tensor(-80.7153871, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
59,2.195416790503364,"tensor(-80.7153951, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
60,2.196204457462401,"tensor(-80.7154078, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
61,2.190606842277562,"tensor(-80.7154156, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
62,2.18264706078512,"tensor(-80.7154178, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
63,2.1834878424541344,"tensor(-80.7154248, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
64,2.1904966180225873,"tensor(-80.7154315, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
65,2.175933210191101,"tensor(-80.7154360, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
66,2.1749902957054768,"tensor(-80.7154460, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
67,2.1745328005008173,"tensor(-80.7154498, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
68,2.17451645787577,"tensor(-80.7154545, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
69,2.17196065967034,"tensor(-80.7154592, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
70,2.170503006575845,"tensor(-80.7154630, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
71,2.1648516192633505,"tensor(-80.7154709, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
72,2.1653533045270734,"tensor(-80.7154754, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
73,2.1621446834587363,"tensor(-80.7154798, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
74,2.166643099830907,"tensor(-80.7154796, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
75,2.158164669760338,"tensor(-80.7154894, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
76,2.1598086250635107,"tensor(-80.7154868, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
77,2.159911468263737,"tensor(-80.7154971, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
78,2.156363270061079,"tensor(-80.7154997, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
79,2.1581865163011416,"tensor(-80.7155053, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
80,2.1559237039336794,"tensor(-80.7155077, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
81,2.1552976657376925,"tensor(-80.7155101, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
82,2.153102023249887,"tensor(-80.7155111, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
83,2.151511875059669,"tensor(-80.7155187, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
84,2.1534111712976545,"tensor(-80.7155222, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
85,2.1511236935725844,"tensor(-80.7155251, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
86,2.1512914242084253,"tensor(-80.7155268, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
87,2.150104356769265,"tensor(-80.7155297, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
88,2.1508611024812088,"tensor(-80.7155331, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
89,2.1508774325356685,"tensor(-80.7155352, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
90,2.148318532927991,"tensor(-80.7155385, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
91,2.148637912627557,"tensor(-80.7155434, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
92,2.148047864797507,"tensor(-80.7155419, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
93,2.1460972311978668,"tensor(-80.7155471, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
94,2.1471177060069584,"tensor(-80.7155501, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
95,2.145488230472764,"tensor(-80.7155516, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
96,2.1438284612449823,"tensor(-80.7155548, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
97,2.1463749241491135,"tensor(-80.7155549, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
98,2.1456175835519735,"tensor(-80.7155604, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
99,2.144661770967856,"tensor(-80.7155609, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
100,2.143876813029427,"tensor(-80.7155632, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
101,2.144488298135305,"tensor(-80.7155661, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
102,2.1436974619174447,"tensor(-80.7155656, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
103,2.1425921955900815,"tensor(-80.7155701, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
104,2.1424788258670326,"tensor(-80.7155716, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
105,2.1426185348000226,"tensor(-80.7155716, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
106,2.142036838226219,"tensor(-80.7155756, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
107,2.1420332952468404,"tensor(-80.7155768, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
108,2.1422929097399215,"tensor(-80.7155777, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
109,2.1399269068180997,"tensor(-80.7155805, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
110,2.1413275074900406,"tensor(-80.7155799, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
111,2.141330865230906,"tensor(-80.7155841, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
112,2.140136585468566,"tensor(-80.7155860, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
113,2.1408782381028435,"tensor(-80.7155850, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
114,2.1403807599114977,"tensor(-80.7155895, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
115,2.139924969126181,"tensor(-80.7155897, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
