epoch,epoch_loss,lie_loss,lmi_loss,eta_loss
0,1472.7583797788557,2219.868669276018,-203.28341742721676,0.0
1,414.2533691402971,2162.9739514447665,-204.4197495622279,0.0
2,547.6720806028347,2223.9203173889773,-205.51964924711015,0.0
3,312.4233268856192,2218.5083577143823,-206.5933605065144,0.0
4,290.3813465716202,2168.502196493645,-207.62463568742842,0.0
5,332.9523843939072,2213.7185185164863,-208.6271987404502,0.0
6,262.9250992323793,2204.389642784888,-209.60229313732722,0.0
7,339.55369441027665,2186.9218512761827,-210.54386885360978,0.0
8,366.61458008832693,2227.270356061197,-211.46066578714513,0.0
9,289.8154209718668,2221.6809702845326,-212.3519836122899,0.0
10,225.37934743002455,2216.0396111165837,-213.21538464627017,0.0
11,306.68402357612445,2222.4986195258825,-214.05532793870367,0.0
12,396.6547345958121,2223.6688055837153,-214.88103773525663,0.0
13,269.3006118308298,2189.113535059786,-215.6804009595244,0.0
14,231.12686736401542,2223.760315718693,-216.45593018176743,0.0
15,264.3148650837715,2209.7796358055325,-217.21267272588176,0.0
16,320.60571065632803,2174.254771173777,-217.95475476995202,0.0
17,298.77752014855093,2194.694215937583,-218.67895788217612,0.0
18,268.28430221886714,2218.953478510364,-219.3829276398732,0.0
19,430.69510665190927,2202.914317634326,-220.07491530677322,0.0
20,269.7016565482777,2208.8845381874107,-220.75567861911173,0.0
21,352.17703222784115,2167.8855515000464,-221.41777608051964,0.0
22,335.09593125647234,2261.878017590984,-222.06547425755247,0.0
23,744.135889439056,2244.973235396221,-222.7238458801973,0.0
24,228.1213001162197,2265.280361050475,-223.34022782146695,0.0
25,237.189762388881,2173.6598792458753,-223.94431155572764,0.0
26,250.93159393649717,2247.192051913167,-224.53841217470503,0.0
27,220.37387787417384,2178.882365386633,-225.1179722319935,0.0
28,241.4640510399805,2237.4344230299193,-225.68707177081504,0.0
29,654.4314939336598,2174.6768680189502,-226.25491031469582,0.0
30,300.26146186080706,2192.488527680681,-226.8162848220353,0.0
31,221.12580167420836,2200.56762977594,-227.35573376374555,0.0
32,348.46629176368896,2198.456063697158,-227.88678968290034,0.0
33,312.3779174490892,2233.2598408029367,-228.41034903454022,0.0
34,225.43745403196002,2218.5683055799473,-228.9225165557586,0.0
35,420.9022708628805,2276.929511934038,-229.4296299736916,0.0
36,232.99523978185297,2238.327162587516,-229.9229328163503,0.0
37,234.7314267910145,2231.207047355029,-230.40590732861125,0.0
38,243.54259653601704,2269.198971231914,-230.88137219365046,0.0
39,220.10122385602736,2171.44100547123,-231.3484330848366,0.0
40,220.64288308161193,2196.4027324769604,-231.80747652390167,0.0
41,324.30396602599944,2217.9329857405696,-232.262219344473,0.0
42,413.2714591763337,2230.535995902469,-232.71530863573685,0.0
43,455.385868769652,2170.0603076680363,-233.16442040570686,0.0
44,257.6331244601326,2214.824790889599,-233.60049162398673,0.0
45,270.1876314975154,2189.7107891921073,-234.02657763290603,0.0
46,1349.7527198528812,2199.1451438594,-234.46858461721027,0.0
47,220.9786945985007,2189.6474651202775,-234.9072640233395,0.0
48,231.60486417834298,2242.608477586887,-235.31234998369098,0.0
49,332.1744146949437,2196.18709610187,-235.71391419421298,0.0
50,227.01295128517884,2210.5741707107736,-236.11440721763765,0.0
51,315.873234907068,2160.7090156306617,-236.50495394689284,0.0
52,225.3977718495679,2241.4125814061617,-236.89083473775784,0.0
53,229.67262249009667,2209.6814580940613,-237.2673612522689,0.0
54,283.18052223294086,2208.723839217117,-237.64165122542983,0.0
55,434.29164879052877,2216.1619840622243,-238.01742766182684,0.0
56,343.420143795112,2190.4372212534477,-238.3829538918687,0.0
57,343.1351024619629,2190.016008739102,-238.7484534559619,0.0
58,347.20801503967135,2179.3320166162744,-239.107048504911,0.0
59,224.37519171083525,2170.6290898084935,-239.456357850666,0.0
60,228.43178283746602,2245.9341105662534,-239.80030765304764,0.0
61,225.76625439366035,2190.1159581472025,-240.138993305658,0.0
