epoch,epoch_loss,lie_loss,lmi_loss,eta_loss
0,7273.821994368718,15926.188697046931,nan,0.0
1,6900.50623594121,15926.19248959189,nan,0.0
2,5769.595216302604,15926.188932692485,nan,0.0
3,5561.705796701311,15926.189233082492,nan,0.0
4,6118.969802052394,15926.186854746416,nan,0.0
5,5803.121797523257,15926.189121213018,nan,0.0
6,4298.408115393874,15926.186198396888,nan,0.0
7,5700.9570570910355,15926.18542035673,nan,0.0
8,5222.493560761052,15926.181776156574,nan,0.0
9,4411.710004542728,15926.18840011065,nan,0.0
10,3936.072498367503,15926.18936612853,nan,0.0
11,3752.652145987456,15926.183394770864,nan,0.0
12,3269.252099089148,15926.187439195528,nan,0.0
13,3811.159397702845,15926.187422347328,nan,0.0
14,3132.579238770932,15926.184157279287,nan,0.0
15,2599.2923379287217,15926.186692999558,nan,0.0
16,2384.9428820596195,15926.186345598133,nan,0.0
17,3360.0363266540635,15926.182404933266,nan,0.0
18,2943.5996929978746,15926.18445487554,nan,0.0
19,3830.8113070176364,15926.17857180664,nan,0.0
20,2982.5014963736476,15926.184377183978,nan,0.0
21,2876.6900423070806,15926.18408083104,nan,0.0
22,2810.1173877963897,15926.185410126873,nan,0.0
23,2462.084994068986,15926.184783240069,nan,0.0
24,3291.299352468831,15926.181475386496,nan,0.0
25,2857.991443953386,15926.179071161298,-197.2544387432402,0.0
26,2378.9435342930688,15926.184514854136,-198.5749214132858,0.0
27,2204.3401176561933,15926.182674276024,-199.68405117791826,0.0
28,2201.176770571519,15926.185848958892,-200.53416312017725,0.0
29,2871.902218109709,15926.187510805312,-201.49705083101466,0.0
30,2308.9208327122406,15926.183043240086,-202.4004321875263,0.0
31,2035.01926024252,15926.183890870348,-203.1734189376247,0.0
32,2686.1316727283393,15926.183170907054,-203.897415259234,0.0
33,2664.3977498220074,15926.186126924282,-204.64782165237423,0.0
34,1903.4598931091537,15926.18463371753,-205.31598684115207,0.0
35,1790.1515966472339,15926.185156769763,-205.85994269524497,0.0
36,2442.6379156543226,15926.180725220098,-206.47616418872636,0.0
37,1840.6550527326594,15926.186427100194,-207.02933127332045,0.0
38,2536.845171553265,15926.183123541636,-207.5648810343732,0.0
39,1727.262831449827,15926.184627664603,-208.11966386670508,0.0
40,1794.4063078893996,15926.186569602472,-208.570026522032,0.0
41,1634.6432128671713,15926.185814937651,-209.01614902797016,0.0
42,1592.6232141025507,15926.186422370458,-209.43095146756355,0.0
43,1592.6186674477428,15926.186429034082,-209.83567624000798,0.0
44,1592.6186411470353,15926.186411318997,-210.23149320702933,0.0
45,1592.6186408385936,15926.18640838588,-210.61876848279547,0.0
46,1592.6186457784656,15926.18641967714,-210.9978449246314,0.0
47,1592.6186409916024,15926.186409915981,-211.3690442467792,0.0
48,1592.6186406974505,15926.18640697445,-211.7326696783523,0.0
49,1592.6186404032442,15926.186404032398,-212.0890076022048,0.0
50,1592.618662805885,15926.186418171052,-212.43832875709305,0.0
51,1592.6186441655514,15926.186412111118,-212.78088905712718,0.0
52,1592.6186407150417,15926.186407150382,-213.11692768974265,0.0
53,1592.6186404203725,15926.186404203667,-213.44667531527148,0.0
54,1592.6186401270108,15926.186401270048,-213.77034874689215,0.0
55,1592.6186398364134,15926.186398364056,-214.08815406318806,0.0
56,1592.6186395401658,15926.18639540159,-214.400287096171,0.0
57,1592.618648404494,15926.186403263146,-214.7069340384396,0.0
58,1592.618645955446,15926.18641569348,-215.0082725680477,0.0
59,1592.6186406378404,15926.186406378305,-215.3044694020326,0.0
60,1592.6186403449751,15926.186403449676,-215.5956862582575,0.0
61,1592.6186400509685,15926.18640050961,-215.88207647764668,0.0
62,1592.6186397578522,15926.186397578467,-216.1637861603127,0.0
63,1592.6186394692336,15926.186394692275,-216.44095525733735,0.0
64,1592.6186391708723,15926.186391708652,-216.71371721585976,0.0
65,1592.6186388787708,15926.186388787646,-216.9821999652777,0.0
66,1592.6186385847352,15926.186385847259,-217.2465257081738,0.0
67,1592.6186431844549,15926.186403348283,-217.50681213875336,0.0
68,1592.618640429015,15926.186404290078,-217.76317034182264,0.0
69,1592.6186401351688,15926.186401351626,-218.0157084204618,0.0
70,1592.6186398420841,15926.186398420732,-218.26452979532567,0.0
71,1592.618639547227,15926.186395472201,-218.50973349170977,0.0
72,1592.6186392537445,15926.186392537367,-218.75141488096054,0.0
73,1592.6186389604945,15926.186389604898,-218.98966528332022,0.0
74,1592.6186386668935,15926.186386668876,-219.22457290947872,0.0
75,1592.6186383744005,15926.186383743938,-219.45622235194676,0.0
76,1592.6186380831566,15926.186380831488,-219.68469513031008,0.0
77,1592.6186377901615,15926.186377901533,-219.91006972071727,0.0
78,1592.6186456084993,15926.186374952726,-220.1324219234388,0.0
79,1592.6186614347287,15926.186414458014,-220.35182607164145,0.0
80,1592.6186402794644,15926.186402794543,-220.56834917641024,0.0
81,1592.6186399856156,15926.186399856066,-220.7820605208593,0.0
82,1592.618639692862,15926.186396928568,-220.99302567383882,0.0
83,1592.6186393981973,15926.18639398189,-221.2013079960491,0.0
84,1592.6186391047816,15926.186391047751,-221.40696826639194,0.0
85,1592.6186388113247,15926.186388113141,-221.61006577038185,0.0
86,1592.6186385177305,15926.186385177227,-221.81065731215708,0.0
87,1592.618638225113,15926.186382251097,-222.00879814762112,0.0
88,1592.618637931444,15926.186379314391,-222.20454173735348,0.0
89,1592.618637637491,15926.186376374817,-222.39793951354076,0.0
90,1592.6186373447515,15926.18637344744,-222.5890415376884,0.0
91,1592.618637050664,15926.186370506584,-222.77789642392455,0.0
92,1592.6186367573991,15926.186367573926,-222.9645508712137,0.0
93,1592.61863655202,15926.18636548751,-223.1490503985495,0.0
94,1592.6186366717359,15926.18636671728,-223.33143927932892,0.0
95,1592.6186367877733,15926.186363772536,-223.51176000369412,0.0
96,1592.6186389191187,15926.18638919115,-223.69005460973221,0.0
97,1592.6186386247302,15926.18638624723,-223.866362363526,0.0
98,1592.6186383360687,15926.1863833606,-224.0407227781913,0.0
99,1592.6186380390043,15926.18638038996,-224.21317385485094,0.0
100,1592.6186377494337,15926.186377494263,-224.38375242001536,0.0
101,1592.6186374519964,15926.186374519873,-224.55249425225347,0.0
102,1592.618637161371,15926.186371613661,-224.7194341119133,0.0
103,1592.618636865088,15926.186368650846,-224.8846058258409,0.0
104,1592.6186365716342,15926.186365716261,-225.04804225138383,0.0
105,1592.618636279704,15926.186362796985,-225.20977544180604,0.0
106,1592.6186359847948,15926.186359847918,-225.36983628772785,0.0
107,1592.6186370646037,15926.186365245512,-225.52825550749284,0.0
108,1592.6186385676765,15926.18638567671,-225.68506223584998,0.0
109,1592.618638273983,15926.186382739756,-225.84028491736416,0.0
110,1592.6186379798976,15926.186379798888,-225.9939516002774,0.0
111,1592.6186376868695,15926.186376868647,-226.1460896404891,0.0
112,1592.6186373930436,15926.186373930397,-226.29672538053254,0.0
113,1592.6186371021138,15926.186371021076,-226.4458848365019,0.0
114,1592.6186368079884,15926.186368079829,-226.59359306326672,0.0
115,1592.6186365135065,15926.186365135043,-226.73987463062986,0.0
116,1592.618636221552,15926.186362215421,-226.88475332670183,0.0
117,1592.618635925832,15926.186359258258,-227.0282526121542,0.0
118,1592.6186356331284,15926.186356331247,-227.1703953419444,0.0
119,1592.6186353391731,15926.186353391682,-227.31120338539162,0.0
120,1592.6186350455287,15926.186350455251,-227.450698842675,0.0
121,1592.618645152814,15926.186360628393,-227.588902856587,0.0
122,1592.6186421486784,15926.186398648524,-227.72583677538455,0.0
123,1592.6186395511133,15926.186395511066,-227.8615188107368,0.0
124,1592.6186392588304,15926.186392588244,-227.9959694623112,0.0
125,1592.6186389633372,15926.186389633272,-228.1292083485977,0.0
126,1592.6186386701577,15926.186386701473,-228.26125417960662,0.0
127,1592.6186383796758,15926.186383796727,-228.3921251961114,0.0
128,1592.618638083031,15926.186380830208,-228.52183944319816,0.0
