epoch,epoch_loss,lie_loss,lmi_loss,eta_loss
0,1229743.246585213,4.18058643258945e-12,-367.7720038120434,0.7022750789394289
1,1082991.3276555557,3.228840805835631e-12,-369.29844852740484,0.0
2,1071029.8407816642,4.555744670398099e-12,-370.77389089299356,0.0
3,1059760.572813217,6.3083566148591785e-12,-372.1880310338551,0.0
4,1048147.4762650225,7.794515033410221e-12,-373.53435261013334,0.0
5,1035523.9242697904,1.1087207540949606e-11,-374.81267794187164,0.0
6,1020475.0364830286,1.4279813442819034e-11,-376.0283039192072,0.0
7,1005282.2421550591,1.8622395292489102e-11,-377.176774447749,0.0
8,987902.606660174,2.2943251465346037e-11,-378.2599647501421,0.0
9,966864.8677020004,2.5516921908774748e-11,-379.277409248928,0.0
10,941288.8219102692,2.8052705991488125e-11,-380.2293978420317,0.0
11,914060.3062524443,3.0151124652544325e-11,-381.1095109669301,0.0
12,878326.9810914051,3.202823423142931e-11,-381.9128358864425,0.0
13,832636.0551900445,3.450964514151167e-11,-382.6289243431425,0.0
14,783740.1688300526,3.5396331699022454e-11,-383.2561450316348,0.0
15,720333.3672302362,3.557366901052461e-11,-383.7681257810903,0.0
16,645162.9231837045,3.999593711778715e-11,-384.1361198749925,0.0
17,551618.3779271137,4.447222451409161e-11,-384.35240890397375,0.0
18,437004.98934662994,5.198002445139238e-11,-384.35763461579097,0.0
19,294817.53329608525,6.159969062613513e-11,-384.09350494917345,0.0
20,168444.0830050913,6.388367612686352e-11,-383.6889318630529,0.0
21,89737.08890730522,6.195898655247944e-11,-383.40595818324397,0.0
22,51089.45951767552,5.998677249374751e-11,-383.29823389895415,0.0
23,31210.132715371026,5.879734199520925e-11,-383.33518732149037,0.0
24,20056.259582166967,5.771550598554498e-11,-383.45953401671767,0.0
25,13657.04760247008,5.6951360294377196e-11,-383.6591628945029,0.0
26,9651.262798793183,5.751266130005206e-11,-383.9173447182732,0.0
27,7005.912282806468,5.672656788746622e-11,-384.20146432570084,0.0
28,5146.963401128832,5.7064325487132805e-11,-384.51716403248486,0.0
29,3919.8321826238434,5.6526949787638614e-11,-384.8369768551499,0.0
30,3080.3545774244653,5.648041062622511e-11,-385.18069700353476,0.0
